Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,API GET /health,11,0,2,3.0920818575065243,1.700200024060905,7.9286000691354275,15.0,5.62511555071881,0.0,2,2,3,3,7,8,8,8,8,8,8
POST,API POST /api/v1/chat,2,0,18,17.94639998115599,17.68259995151311,18.21020001079887,112.0,1.0227482819488747,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,Gateway GET /api/v1/inference/stats,3,0,2,2.1560000022873282,1.9378999713808298,2.556100022047758,53.0,1.534122422923312,0.0,2,2,3,3,3,3,3,3,3,3,3
POST,Gateway POST /api/v1/inference/chat/completions,4,0,17.445100005716085,18.734549987129867,17.445100005716085,22.077700006775558,319.0,2.0454965638977494,0.0,18,18,22,22,22,22,22,22,22,22,22
GET,Workflow GET /api/v1/dashboard/workflow/{id},5,0,18,21.848279982805252,17.36289996188134,38.50819997023791,122.4,2.5568707048721864,0.0,18,18,18,39,39,39,39,39,39,39,39
POST,Workflow POST /api/v1/dashboard/projects,3,0,19,20.342399987081688,18.698800005950034,23.525399970822036,144.0,1.534122422923312,0.0,19,19,24,24,24,24,24,24,24,24,24
,Aggregated,28,0,8,11.485017865197733,1.700200024060905,38.50819997023791,102.42857142857143,14.318475947284243,0.0,17,18,18,18,22,24,39,39,39,39,39
