Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,API GET /health,30,0,2,2.3764366672063866,1.5969000523909926,7.988099940121174,15.0,4.348220572538488,0.0,2,2,2,3,4,4,8,8,8,8,8
POST,API POST /api/v1/chat,13,0,18,18.44534617311393,17.55430002231151,23.23450008407235,112.0,1.8842289147666782,0.0,18,18,19,19,19,23,23,23,23,23,23
GET,Gateway GET /api/v1/inference/stats,7,0,3,2.614128569673215,2.0491000032052398,3.1633999897167087,53.0,1.0145848002589806,0.0,3,3,3,3,3,3,3,3,3,3,3
POST,Gateway POST /api/v1/inference/chat/completions,16,0,18,18.123087495041545,17.149199964478612,23.339300067164004,319.0,2.319050972020527,0.0,18,18,18,18,19,23,23,23,23,23,23
GET,Workflow GET /api/v1/dashboard/workflow/{id},14,0,18,18.184071431668208,17.397399991750717,23.615499958395958,122.42857142857143,2.029169600517961,0.0,18,18,18,18,18,24,24,24,24,24,24
POST,Workflow POST /api/v1/dashboard/projects,13,0,18,19.540330780168567,17.32590002939105,38.86550001334399,144.0,1.8842289147666782,0.0,18,18,18,18,20,39,39,39,39,39,39
,Aggregated,93,0,17,12.12851828344727,1.5969000523909926,38.86550001334399,117.9247311827957,13.479483774869314,0.0,17,18,18,18,18,20,24,39,39,39,39
